"","State","City","County","Coastal","Region","Census_2010","Census_Estimates_Base","e2010","e2011","e2012","e2013","e2014","e2015","e2016","e2017","e2018","e2019","Urbanized_Cluster","Urbanized_Area"
"35","California","Carson","Los Angeles County",TRUE,"Pacific","91,714","91,711","91,599","91,690","92,162","92,535","92,684","92,752","92,572","92,193","91,626","91,394",TRUE,TRUE
"36","California","Cerritos","Los Angeles County",TRUE,"Pacific","49,041","49,043","49,042","49,223","49,384","49,507","49,532","49,546","50,346","50,697","50,288","49,859",TRUE,TRUE
"37","South Carolina","Charleston","Charleston County",TRUE,"Atlantic","120,083","120,364","120,700","123,012","125,223","127,246","129,434","132,413","134,453","135,626","136,111","137,566",TRUE,TRUE
"38","Illinois","Chicago","Cook County",TRUE,"Great Lakes","2,695,598","2,695,652","2,697,477","2,708,114","2,719,141","2,725,731","2,727,066","2,724,344","2,716,723","2,711,069","2,701,423","2,693,976",TRUE,TRUE
"39","California","Chula Vista","San Diego County",TRUE,"Pacific","243,916","243,923","244,648","248,318","252,379","256,691","259,885","264,206","266,238","269,046","270,819","274,492",TRUE,TRUE
"40","Illinois","Cicero","Cook County",TRUE,"Great Lakes","83,891","84,241","84,267","84,438","84,569","84,601","84,397","83,884","83,219","82,399","81,477","80,796",TRUE,TRUE
"41","Florida","Clearwater","Pinellas County",TRUE,"Gulf of Mexico","107,685","109,139","109,052","109,204","109,538","110,279","111,167","112,939","114,175","115,482","116,324","116,946",TRUE,TRUE
"42","Ohio","Cleveland","Cuyahoga County",TRUE,"Great Lakes","396,815","396,665","395,926","392,667","391,550","391,792","390,871","389,244","387,662","385,252","383,214","381,009",TRUE,TRUE
"43","Florida","Coconut Creek","Broward County",TRUE,"Atlantic","52,909","53,042","53,183","54,324","55,131","56,920","58,502","59,202","59,815","61,070","61,205","61,248",TRUE,TRUE
"44","California","Compton","Los Angeles County",TRUE,"Pacific","96,455","96,404","96,442","96,933","97,350","97,600","97,634","97,639","97,281","97,047","96,348","95,605",TRUE,TRUE
"45","California","Concord","Contra Costa County",TRUE,"Pacific","122,067","122,169","122,505","123,518","124,678","125,888","127,128","128,303","129,036","129,592","129,743","129,295",TRUE,TRUE
"46","Florida","Coral Gables","Miami-Dade County",TRUE,"Atlantic","46,780","46,746","46,963","47,613","49,049","49,762","50,176","50,275","50,396","50,628","50,125","49,700",TRUE,TRUE
"47","Florida","Coral Springs","Broward County",TRUE,"Atlantic","121,096","122,588","122,887","125,141","126,682","127,788","128,847","130,160","131,753","133,542","133,712","133,759",TRUE,TRUE
"48","Texas","Corpus Christi","Nueces County",TRUE,"Gulf of Mexico","305,215","305,226","305,272","308,103","312,390","317,043","320,765","324,672","325,786","325,568","326,307","326,586",TRUE,TRUE
"49","California","Costa Mesa","Orange County",TRUE,"Pacific","109,960","110,078","110,221","111,151","111,790","112,244","112,485","112,808","112,933","113,665","113,302","113,003",TRUE,TRUE
"50","Rhode Island","Cranston","Providence County",TRUE,"Atlantic","80,387","80,627","80,757","80,881","81,066","81,033","81,248","81,306","81,221","81,022","81,335","81,456",TRUE,TRUE
"51","California","Cupertino","Santa Clara County",TRUE,"Pacific","58,302","58,559","58,689","59,172","59,769","60,198","60,592","60,519","60,900","60,588","60,004","59,276",TRUE,TRUE
"52","California","Daly City","San Mateo County",TRUE,"Pacific","101,123","101,116","101,262","102,460","103,915","104,980","105,887","106,538","106,882","106,733","106,869","106,280",TRUE,TRUE
"53","Connecticut","Danbury","Fairfield County",TRUE,"Atlantic","80,893","80,893","81,308","82,085","82,777","83,577","83,681","84,200","84,927","84,616","84,675","84,694",TRUE,TRUE
"54","Florida","Davie","Broward County",TRUE,"Atlantic","91,992","91,950","92,315","94,455","95,776","97,599","99,179","101,229","103,255","105,136","106,131","106,306",TRUE,TRUE
"55","Florida","Daytona Beach","Volusia County",TRUE,"Atlantic","61,005","61,591","61,626","61,720","62,199","62,957","63,560","64,962","67,076","68,096","68,709","69,186",TRUE,TRUE
"56","Michigan","Dearborn","Wayne County",TRUE,"Great Lakes","98,153","98,146","97,849","97,173","96,878","96,065","95,973","95,488","95,052","94,708","94,379","93,932",TRUE,TRUE
"57","Michigan","Dearborn Heights","Wayne County",TRUE,"Great Lakes","57,774","57,774","57,640","57,278","57,115","56,653","56,596","56,322","56,097","55,873","55,627","55,353",TRUE,TRUE
"58","Florida","Deerfield Beach","Broward County",TRUE,"Atlantic","75,018","75,008","75,178","76,504","77,395","78,002","78,565","79,334","79,972","80,525","80,666","81,066",TRUE,TRUE
"59","Florida","Delray Beach","Palm Beach County",TRUE,"Atlantic","60,522","60,611","60,801","61,495","62,267","64,177","65,004","66,203","67,546","68,708","69,176","69,451",TRUE,TRUE
"60","Florida","Deltona","Volusia County",TRUE,"Atlantic","85,182","85,131","85,096","84,979","85,139","85,583","86,295","87,728","89,314","90,586","91,718","92,757",TRUE,TRUE
"61","Illinois","Des Plaines","Cook County",TRUE,"Great Lakes","58,364","58,383","58,454","58,725","58,978","59,112","59,104","58,811","58,430","58,078","58,854","58,899",TRUE,TRUE
"62","Michigan","Detroit","Wayne County",TRUE,"Great Lakes","713,777","713,898","711,131","705,118","700,183","691,868","682,609","679,410","677,143","674,631","672,977","670,031",TRUE,TRUE
"63","California","Diamond Bar","Los Angeles County",TRUE,"Pacific","55,544","55,568","55,588","55,854","56,087","56,233","56,279","56,429","56,581","56,334","56,106","55,720",TRUE,TRUE
"64","Florida","Doral","Miami-Dade County",TRUE,"Atlantic","45,704","45,712","45,953","47,024","47,877","50,052","53,643","55,482","57,704","60,222","60,762","65,741",TRUE,TRUE
"65","California","Downey","Los Angeles County",TRUE,"Pacific","111,772","111,775","111,785","112,215","112,582","112,858","113,091","113,260","112,896","112,426","111,915","111,126",TRUE,TRUE
"66","California","Dublin","Alameda County",TRUE,"Pacific","46,036","46,036","45,903","46,804","48,700","52,027","54,554","57,545","59,579","60,797","63,423","64,826",TRUE,TRUE
"67","Minnesota","Duluth","St. Louis County",TRUE,"Great Lakes","86,265","86,266","86,191","86,239","86,162","86,045","86,095","85,985","86,084","85,979","85,856","85,618",TRUE,TRUE
"68","New Jersey","East Orange","Essex County",TRUE,"Atlantic","64,270","64,169","64,150","64,332","64,172","64,221","64,262","64,438","64,426","64,306","64,258","64,367",TRUE,TRUE
"69","California","El Cajon","San Diego County",TRUE,"Pacific","99,478","99,584","99,823","100,795","101,537","102,303","102,789","103,230","103,527","103,468","103,041","102,708",TRUE,TRUE
"70","California","El Monte","Los Angeles County",TRUE,"Pacific","113,475","113,531","113,677","114,101","114,843","115,414","115,627","115,824","115,550","115,514","115,308","115,487",TRUE,TRUE
"71","New Jersey","Elizabeth","Union County",TRUE,"Atlantic","124,969","124,973","125,257","125,792","126,595","127,278","127,658","127,661","127,968","128,175","128,599","129,216",TRUE,TRUE
"72","Ohio","Elyria","Lorain County",TRUE,"Great Lakes","54,533","54,526","54,487","54,322","54,162","54,115","54,078","53,917","53,865","53,781","53,797","53,757",TRUE,TRUE
"73","California","Encinitas","San Diego County",TRUE,"Pacific","59,518","59,526","59,684","60,264","60,890","61,555","62,023","62,590","62,921","62,884","62,750","62,709",TRUE,TRUE
"74","Pennsylvania","Erie","Erie County",TRUE,"Great Lakes","101,786","101,738","101,719","101,511","101,290","100,532","99,714","99,030","98,211","97,214","96,298","95,508",TRUE,TRUE
"75","California","Escondido","San Diego County",TRUE,"Pacific","143,911","143,976","144,440","146,099","147,570","148,794","149,708","150,683","151,204","151,220","151,793","151,625",TRUE,TRUE
"76","Oregon","Eugene","Lane County",TRUE,"Pacific","156,185","156,431","156,527","157,424","158,238","158,441","160,260","162,910","165,927","169,391","170,701","172,622",TRUE,TRUE
"77","Illinois","Evanston","Cook County",TRUE,"Great Lakes","74,486","74,483","74,585","75,142","75,723","75,984","75,994","75,619","75,243","74,617","73,990","73,473",TRUE,TRUE
"78","Washington","Everett","Snohomish County",TRUE,"Pacific","103,019","102,953","103,173","103,445","104,436","105,048","106,460","107,077","108,931","110,169","111,088","111,475",TRUE,TRUE
"79","California","Fairfield","Solano County",TRUE,"Pacific","105,321","105,467","105,598","106,245","107,497","109,137","110,727","112,365","114,456","115,817","116,678","117,133",TRUE,TRUE
"80","Massachusetts","Fall River","Bristol County",TRUE,"Atlantic","88,857","88,865","88,882","88,827","88,852","88,992","89,148","89,258","89,287","89,298","89,630","89,541",TRUE,TRUE
"81","Washington","Federal Way","King County",TRUE,"Pacific","89,306","89,295","89,556","90,664","91,913","92,632","93,421","95,254","97,131","97,274","96,726","96,289",TRUE,TRUE
"82","Florida","Fort Lauderdale","Broward County",TRUE,"Atlantic","165,521","165,754","166,126","169,012","170,909","172,275","175,153","177,356","178,837","179,877","182,101","182,437",TRUE,TRUE
"83","Florida","Fort Myers","Lee County",TRUE,"Gulf of Mexico","62,298","62,305","62,503","63,818","65,504","67,802","70,449","73,470","76,752","80,015","82,229","87,103",TRUE,TRUE
"84","California","Fountain Valley","Orange County",TRUE,"Pacific","55,313","55,360","55,470","55,950","56,318","56,601","56,671","56,643","56,423","56,051","55,663","55,357",TRUE,TRUE
"85","California","Fremont","Alameda County",TRUE,"Pacific","214,089","214,074","214,553","217,391","221,426","224,796","228,274","231,687","233,478","234,544","237,811","241,110",TRUE,TRUE
"86","California","Fullerton","Orange County",TRUE,"Pacific","135,161","135,233","135,291","136,386","138,103","138,637","138,840","139,982","140,454","139,744","139,273","138,632",TRUE,TRUE
"87","Texas","Galveston","Galveston County",TRUE,"Gulf of Mexico","47,743","47,741","47,793","47,555","48,100","48,658","49,251","49,691","50,186","50,569","50,396","50,446",TRUE,TRUE
