"","State","City","County","Coastal","Region","Census_2010","Census_Estimates_Base","e2010","e2011","e2012","e2013","e2014","e2015","e2016","e2017","e2018","e2019","Urbanized_Cluster","Urbanized_Area"
"147","Florida","Miami Beach","Miami-Dade County",TRUE,"Atlantic","87,779","87,380","87,722","88,713","89,566","90,152","90,184","90,570","90,652","90,642","89,808","88,885",TRUE,TRUE
"148","Florida","Miami Gardens","Miami-Dade County",TRUE,"Atlantic","107,167","107,163","107,516","108,859","110,056","110,842","110,943","111,561","111,884","112,220","111,144","110,001",TRUE,TRUE
"149","California","Milpitas","Santa Clara County",TRUE,"Pacific","66,790","66,820","66,729","67,124","68,862","69,944","73,560","77,485","77,829","77,874","80,208","84,196",TRUE,TRUE
"150","Wisconsin","Milwaukee","Milwaukee County",TRUE,"Great Lakes","594,833","594,498","594,865","597,086","598,569","599,916","600,664","600,477","596,996","593,725","591,375","590,157",TRUE,TRUE
"151","Florida","Miramar","Broward County",TRUE,"Atlantic","122,041","121,958","122,300","125,059","128,697","130,120","134,494","136,476","138,964","140,215","140,564","141,191",TRUE,TRUE
"152","California","Mission Viejo","Orange County",TRUE,"Pacific","93,305","93,103","93,225","94,020","94,627","96,003","96,622","96,543","96,149","95,551","94,925","94,381",TRUE,TRUE
"153","Texas","Missouri City","Fort Bend County, Harris County",TRUE,"","67,358","66,534","66,905","67,441","68,107","69,314","71,076","73,611","74,359","74,617","74,834","75,457",TRUE,TRUE
"154","Alabama","Mobile","Mobile County",TRUE,"Gulf of Mexico","195,111","194,659","194,577","193,801","193,761","193,288","192,582","191,975","191,472","190,190","189,809","188,720",TRUE,TRUE
"155","California","Montebello","Los Angeles County",TRUE,"Pacific","62,500","62,488","62,490","62,903","63,123","63,279","63,322","63,379","63,134","62,823","62,440","61,954",TRUE,TRUE
"156","California","Monterey Park","Los Angeles County",TRUE,"Pacific","60,269","60,225","60,218","60,460","60,645","60,796","60,832","60,908","60,830","60,668","60,198","59,669",TRUE,TRUE
"157","South Carolina","Mount Pleasant","Charleston County",TRUE,"Atlantic","67,843","68,360","68,509","69,807","72,172","74,906","77,937","81,617","84,476","87,295","89,869","91,684",TRUE,TRUE
"158","Illinois","Mount Prospect","Cook County",TRUE,"Great Lakes","54,167","55,037","55,082","55,264","55,417","55,602","55,770","55,528","55,156","54,675","54,116","53,719",TRUE,TRUE
"159","New York","Mount Vernon","Westchester County",TRUE,"Atlantic","67,292","67,316","67,399","67,751","67,844","68,133","68,213","68,281","68,245","67,966","67,655","67,345",TRUE,TRUE
"160","California","Mountain View","Santa Clara County",TRUE,"Pacific","74,066","74,008","74,236","75,108","76,507","77,955","79,150","80,345","80,821","81,189","83,168","82,739",TRUE,TRUE
"161","California","National City","San Diego County",TRUE,"Pacific","58,582","58,560","58,624","59,042","59,369","59,776","60,132","60,721","60,967","61,083","61,272","61,394",TRUE,TRUE
"162","Massachusetts","New Bedford","Bristol County",TRUE,"Atlantic","95,072","95,071","95,059","94,896","94,998","95,065","95,121","95,128","95,135","95,083","95,371","95,363",TRUE,TRUE
"163","New Jersey","New Brunswick","Middlesex County",TRUE,"Atlantic","55,181","54,500","54,886","55,296","55,404","55,896","55,882","56,009","56,183","56,120","55,878","55,676",TRUE,TRUE
"164","Connecticut","New Haven","New Haven County",TRUE,"Atlantic","129,779","129,884","129,816","130,845","131,114","130,906","130,611","130,383","130,417","130,653","129,993","130,250",TRUE,TRUE
"165","Louisiana","New Orleans","Orleans Parish",TRUE,"Gulf of Mexico","343,829","343,828","347,772","360,735","369,787","378,637","383,940","389,742","391,843","391,493","391,004","390,144",TRUE,TRUE
"166","New York","New Rochelle","Westchester County",TRUE,"Atlantic","77,062","77,115","77,233","77,701","78,328","79,265","79,342","79,419","79,455","79,084","78,822","78,557",TRUE,TRUE
"167","New York","New York","New York County, Kings County, Bronx County, Richmond County, Queens County",TRUE,"Atlantic","8,175,133","8,175,031","8,190,209","8,272,948","8,346,693","8,396,091","8,433,806","8,463,049","8,469,153","8,437,478","8,390,081","8,336,817",TRUE,TRUE
"168","New Jersey","Newark","Essex County",TRUE,"Atlantic","277,140","277,135","277,175","277,574","277,594","278,121","278,936","279,636","280,681","281,237","281,752","282,011",TRUE,TRUE
"169","California","Newport Beach","Orange County",TRUE,"Pacific","85,186","85,211","85,329","86,073","86,522","86,877","86,688","86,585","86,510","85,740","85,074","84,534",TRUE,TRUE
"170","Virginia","Newport News","Newport News city",TRUE,"Atlantic","180,719","180,955","180,888","180,078","180,056","181,275","181,522","180,958","180,209","179,447","178,523","179,225",TRUE,TRUE
"171","New York","Niagara Falls","Niagara County",TRUE,"Great Lakes","50,193","50,031","49,996","49,760","49,526","49,328","49,083","48,769","48,526","48,249","48,012","47,720",TRUE,TRUE
"172","Virginia","Norfolk","Norfolk city",TRUE,"Atlantic","242,803","242,827","242,999","243,655","246,149","245,468","246,576","246,457","245,680","244,543","243,585","242,742",TRUE,TRUE
"173","South Carolina","North Charleston","Berkeley County, Charleston County, Dorchester County",TRUE,"","97,471","97,579","97,949","99,898","101,994","104,050","106,754","108,597","109,738","110,820","113,077","115,382",TRUE,TRUE
"174","Florida","North Miami","Miami-Dade County",TRUE,"Atlantic","58,786","60,134","60,322","60,991","61,553","61,946","61,903","62,040","62,018","61,939","63,481","62,822",TRUE,TRUE
"175","Florida","North Port","Sarasota County",TRUE,"Gulf of Mexico","57,357","57,320","57,389","57,726","58,416","59,113","60,323","62,244","64,371","66,272","68,438","70,724",TRUE,TRUE
"176","California","Norwalk","Los Angeles County",TRUE,"Pacific","105,549","105,549","105,544","105,903","105,976","106,122","106,189","106,237","105,844","105,466","104,798","103,949",TRUE,TRUE
"177","Connecticut","Norwalk","Fairfield County",TRUE,"Atlantic","85,603","85,612","85,956","86,611","87,257","87,728","88,023","88,248","88,441","88,357","89,061","88,816",TRUE,TRUE
"178","California","Novato","Marin County",TRUE,"Pacific","51,904","51,869","51,970","52,680","53,221","54,142","54,856","55,406","55,913","55,701","55,640","55,516",TRUE,TRUE
"179","Illinois","Oak Lawn","Cook County",TRUE,"Great Lakes","56,690","56,690","56,732","56,924","57,078","57,170","57,106","56,825","56,456","55,983","55,430","55,022",TRUE,TRUE
"180","Illinois","Oak Park","Cook County",TRUE,"Great Lakes","51,878","51,878","51,896","52,013","52,099","52,254","52,138","52,405","52,060","52,149","52,173","52,381",TRUE,TRUE
"181","California","Oakland","Alameda County",TRUE,"Pacific","390,724","390,765","391,406","396,086","401,104","406,648","412,901","418,211","420,947","424,382","429,056","433,031",TRUE,TRUE
"182","California","Oceanside","San Diego County",TRUE,"Pacific","167,086","167,547","168,079","170,008","171,590","173,175","174,318","175,189","175,451","175,884","175,758","175,742",TRUE,TRUE
"183","California","Orange","Orange County",TRUE,"Pacific","136,416","136,776","137,103","138,539","139,372","139,972","139,424","140,503","140,581","140,251","139,449","138,669",TRUE,TRUE
"184","Illinois","Orland Park","Cook County, Will County",TRUE,"Great Lakes","56,767","56,607","56,664","56,968","57,232","58,470","58,592","58,531","58,912","58,579","58,179","57,857",TRUE,TRUE
"185","California","Oxnard","Ventura County",TRUE,"Pacific","197,899","198,047","198,539","199,968","201,105","202,835","204,560","206,228","207,455","208,831","209,271","208,881",TRUE,TRUE
"186","Illinois","Palatine","Cook County",TRUE,"Great Lakes","68,557","68,551","68,611","68,886","69,170","69,378","69,427","69,302","68,953","68,506","67,942","67,482",TRUE,TRUE
"187","Florida","Palm Bay","Brevard County",TRUE,"Atlantic","103,190","104,006","104,138","104,131","104,819","105,329","106,237","108,160","110,289","112,217","113,854","115,552",TRUE,TRUE
"188","Florida","Palm Beach Gardens","Palm Beach County",TRUE,"Atlantic","48,452","49,896","50,012","50,563","51,320","52,221","53,388","54,437","55,536","56,360","57,007","57,704",TRUE,TRUE
"189","Florida","Palm Coast","Flagler County",TRUE,"Atlantic","75,180","75,199","75,499","76,641","77,363","78,409","80,027","81,938","84,155","86,146","87,660","89,800",TRUE,TRUE
"190","California","Palmdale","Los Angeles County",TRUE,"Pacific","152,750","152,733","152,936","153,996","154,861","156,495","156,770","156,988","156,739","156,558","156,158","155,079",TRUE,TRUE
"191","California","Palo Alto","Santa Clara County",TRUE,"Pacific","64,403","64,387","64,535","65,345","66,089","66,613","66,848","66,782","67,353","66,960","66,258","65,364",TRUE,TRUE
"192","California","Paramount","Los Angeles County",TRUE,"Pacific","54,098","54,098","54,104","54,329","54,580","54,854","54,914","54,971","54,789","54,621","54,259","53,955",TRUE,TRUE
"193","Ohio","Parma","Cuyahoga County",TRUE,"Great Lakes","81,601","81,589","81,456","80,961","80,623","80,453","80,166","80,037","79,627","79,103","78,622","78,103",TRUE,TRUE
"194","California","Pasadena","Los Angeles County",TRUE,"Pacific","137,122","137,114","137,111","137,652","138,097","139,292","139,529","141,025","141,601","141,757","140,906","141,029",TRUE,TRUE
"195","Texas","Pasadena","Harris County",TRUE,"Gulf of Mexico","149,043","149,307","149,523","151,156","152,662","153,532","154,447","154,530","154,525","153,858","152,733","151,227",TRUE,TRUE
"196","Rhode Island","Pawtucket","Providence County",TRUE,"Atlantic","71,148","71,153","71,267","71,406","71,582","71,623","71,693","71,755","71,775","71,600","71,973","72,117",TRUE,TRUE
"197","Massachusetts","Peabody","Essex County",TRUE,"Atlantic","51,251","51,266","51,399","51,632","51,904","52,224","52,463","52,629","52,759","52,948","53,092","53,070",TRUE,TRUE
"198","Texas","Pearland","Brazoria County, Fort Bend County, Harris County",TRUE,"Gulf of Mexico","91,252","93,117","94,063","96,271","99,283","102,832","106,027","111,267","115,926","119,312","121,424","122,460",TRUE,TRUE
"199","Florida","Pembroke Pines","Broward County",TRUE,"Atlantic","154,750","154,898","155,265","158,278","160,245","162,133","164,065","165,800","168,321","170,707","171,975","173,591",TRUE,TRUE
"200","Florida","Pensacola","Escambia County",TRUE,"Gulf of Mexico","51,923","52,008","52,014","51,848","52,149","52,270","52,434","52,473","52,662","52,525","52,637","52,975",TRUE,TRUE
"201","New Jersey","Perth Amboy","Middlesex County",TRUE,"Atlantic","50,814","50,827","50,918","51,137","51,556","51,722","51,832","51,705","51,765","51,821","51,677","51,390",TRUE,TRUE
"202","California","Petaluma","Sonoma County",TRUE,"Pacific","57,941","57,968","58,037","58,236","58,728","59,337","59,753","60,295","60,468","60,682","61,826","60,520",TRUE,TRUE
"203","California","Pico Rivera","Los Angeles County",TRUE,"Pacific","62,942","62,958","62,960","63,221","63,430","63,597","63,637","63,670","63,438","63,133","62,677","62,027",TRUE,TRUE
"204","Florida","Pinellas Park","Pinellas County",TRUE,"Gulf of Mexico","49,079","49,553","49,532","49,944","50,202","50,532","51,410","51,989","52,615","52,940","53,157","53,637",TRUE,TRUE
"205","California","Pittsburg","Contra Costa County",TRUE,"Pacific","63,264","63,259","63,522","64,546","65,523","66,646","67,974","69,260","70,798","72,000","72,450","72,588",TRUE,TRUE
"206","California","Placentia","Orange County",TRUE,"Pacific","50,533","50,915","50,994","51,503","51,838","52,105","52,108","52,202","52,154","51,916","51,538","51,233",TRUE,TRUE
"207","New Jersey","Plainfield","Union County",TRUE,"Atlantic","49,808","49,595","49,667","49,816","49,972","50,223","50,315","50,464","50,276","50,367","50,430","50,317",TRUE,TRUE
"208","Florida","Plantation","Broward County",TRUE,"Atlantic","84,955","84,883","85,331","86,874","87,928","90,051","90,968","91,904","92,767","93,824","94,019","94,580",TRUE,TRUE
"209","California","Pleasanton","Alameda County",TRUE,"Pacific","70,285","70,280","70,381","71,133","72,098","74,026","77,454","79,265","82,330","82,831","82,357","81,777",TRUE,TRUE
"210","California","Pomona","Los Angeles County",TRUE,"Pacific","149,058","149,061","149,107","149,693","150,453","151,072","152,225","152,407","152,445","152,468","151,925","151,691",TRUE,TRUE
"211","Florida","Pompano Beach","Broward County",TRUE,"Atlantic","99,845","99,839","100,063","101,756","102,888","104,183","105,500","106,937","109,358","110,354","111,636","112,118",TRUE,TRUE
"212","Texas","Port Arthur","Jefferson County",TRUE,"Gulf of Mexico","53,818","54,376","54,500","54,905","54,563","54,719","54,529","55,378","55,566","55,433","54,889","54,280",TRUE,TRUE
"213","Florida","Port Orange","Volusia County",TRUE,"Atlantic","56,048","56,628","56,627","56,727","56,978","57,508","58,983","60,145","61,454","63,062","64,055","64,842",TRUE,TRUE
"214","Florida","Port St. Lucie","St. Lucie County",TRUE,"Atlantic","164,603","164,203","164,848","166,283","167,888","169,405","172,669","177,695","183,521","189,119","194,808","201,846",TRUE,TRUE
"215","Maine","Portland","Cumberland County",TRUE,"Atlantic","66,194","66,191","66,088","66,183","66,216","66,391","66,832","66,825","66,911","66,646","66,405","66,215",TRUE,TRUE
"216","Rhode Island","Providence","Providence County",TRUE,"Atlantic","178,042","177,770","178,029","178,332","178,813","178,692","179,119","179,252","179,548","179,252","179,520","179,883",TRUE,TRUE
"217","Massachusetts","Quincy","Norfolk County",TRUE,"Atlantic","92,271","92,262","92,457","92,544","92,973","93,470","93,685","93,766","94,130","94,322","94,403","94,470",TRUE,TRUE
"218","Wisconsin","Racine","Racine County",TRUE,"Great Lakes","78,860","78,556","78,460","78,170","77,904","77,782","77,607","77,290","77,155","77,188","77,075","76,760",TRUE,TRUE
"219","Washington","Redmond","King County",TRUE,"Pacific","54,144","54,511","54,731","55,674","56,741","57,606","59,416","60,770","62,794","64,872","67,436","71,929",TRUE,TRUE
"220","California","Redondo Beach","Los Angeles County",TRUE,"Pacific","66,748","66,931","66,933","67,192","67,438","67,629","67,673","67,771","67,809","67,511","67,206","66,749",TRUE,TRUE
"221","California","Redwood City","San Mateo County",TRUE,"Pacific","76,815","76,817","77,010","77,970","79,188","81,034","82,741","85,274","85,293","86,394","86,105","85,925",TRUE,TRUE
"222","Washington","Renton","King County",TRUE,"Pacific","90,927","91,912","92,351","94,131","95,941","97,090","98,588","100,455","101,513","101,981","101,787","101,751",TRUE,TRUE
"223","Massachusetts","Revere","Suffolk County",TRUE,"Atlantic","51,755","51,713","51,845","52,628","53,241","53,694","53,802","53,960","53,942","54,071","53,483","53,073",TRUE,TRUE
"224","California","Richmond","Contra Costa County",TRUE,"Pacific","103,701","103,255","103,631","104,882","106,023","107,083","107,921","109,062","109,663","109,860","110,189","110,567",TRUE,TRUE
"225","New York","Rochester","Monroe County",TRUE,"Great Lakes","210,565","210,674","210,217","210,491","210,329","210,179","209,329","208,561","207,659","206,410","206,004","205,695",TRUE,TRUE
"226","California","Rosemead","Los Angeles County",TRUE,"Pacific","53,764","53,771","53,795","54,022","54,215","54,398","54,429","54,440","54,332","54,221","54,226","54,058",TRUE,TRUE
"227","California","Salinas","Monterey County",TRUE,"Pacific","150,441","150,607","150,887","152,412","153,815","154,958","155,717","156,244","156,830","156,463","155,647","155,465",TRUE,TRUE
"228","Washington","Sammamish","King County",TRUE,"Pacific","45,780","57,449","57,656","58,726","59,973","61,006","62,174","63,266","63,817","64,929","65,495","65,892",TRUE,TRUE
"229","California","San Buenaventura (Ventura)","Ventura County",TRUE,"Pacific","106,433","107,217","107,435","108,306","109,002","109,339","109,535","109,668","109,893","110,093","110,731","109,106",TRUE,TRUE
"230","California","San Clemente","Orange County",TRUE,"Pacific","63,522","63,500","63,605","64,255","64,612","64,845","64,947","65,142","65,185","64,973","64,699","64,558",TRUE,TRUE
"231","California","San Diego","San Diego County",TRUE,"Pacific","1,307,402","1,301,929","1,305,906","1,319,592","1,336,776","1,355,320","1,375,831","1,387,323","1,402,089","1,412,621","1,421,917","1,423,851",TRUE,TRUE
"232","California","San Francisco","San Francisco County",TRUE,"Pacific","805,235","805,184","805,505","815,650","828,876","839,572","850,750","863,010","871,512","878,040","880,696","881,549",TRUE,TRUE
"233","California","San Jose","Santa Clara County",TRUE,"Pacific","945,942","952,528","954,940","970,369","983,530","1,001,279","1,014,273","1,025,980","1,030,242","1,032,335","1,028,020","1,021,795",TRUE,TRUE
"234","California","San Leandro","Alameda County",TRUE,"Pacific","84,950","84,977","85,119","85,921","86,976","88,074","89,195","90,538","90,706","90,418","89,713","88,815",TRUE,TRUE
"235","California","San Marcos","San Diego County",TRUE,"Pacific","83,781","83,631","83,926","85,001","86,816","89,423","92,372","93,199","94,932","95,614","96,480","96,664",TRUE,TRUE
"236","California","San Mateo","San Mateo County",TRUE,"Pacific","97,207","97,195","97,383","98,518","99,816","101,323","102,695","103,509","104,357","104,389","104,885","104,430",TRUE,TRUE
"237","California","San Rafael","Marin County",TRUE,"Pacific","57,713","57,698","57,797","58,232","58,448","58,995","59,130","59,074","58,918","58,801","58,704","58,440",TRUE,TRUE
"238","California","San Ramon","Contra Costa County",TRUE,"Pacific","72,148","71,412","71,585","72,174","72,850","73,560","74,329","75,138","75,703","75,795","75,851","75,995",TRUE,TRUE
"239","California","Santa Ana","Orange County",TRUE,"Pacific","324,528","324,774","325,327","328,227","330,550","333,716","333,431","333,417","333,765","332,627","331,912","332,318",TRUE,TRUE
"240","California","Santa Barbara","Santa Barbara County",TRUE,"Pacific","88,410","88,380","88,468","88,605","89,285","90,082","90,815","91,275","91,518","91,517","91,203","91,364",TRUE,TRUE
"241","California","Santa Clara","Santa Clara County",TRUE,"Pacific","116,468","116,453","116,761","117,836","119,337","120,486","121,967","126,024","126,429","126,709","129,085","130,365",TRUE,TRUE
"242","California","Santa Clarita","Los Angeles County",TRUE,"Pacific","176,320","208,778","208,822","209,843","210,672","211,376","212,283","213,184","213,526","213,734","213,549","212,979",TRUE,TRUE
"243","California","Santa Cruz","Santa Cruz County",TRUE,"Pacific","59,946","59,944","60,578","61,434","61,954","62,731","63,172","64,082","64,396","64,815","64,643","64,608",TRUE,TRUE
"244","California","Santa Maria","Santa Barbara County",TRUE,"Pacific","99,553","99,596","99,689","100,293","101,116","102,057","103,021","104,462","105,811","106,298","107,218","107,263",TRUE,TRUE
"245","California","Santa Monica","Los Angeles County",TRUE,"Pacific","89,736","89,742","89,759","90,476","91,327","92,050","92,087","92,422","92,176","91,747","91,106","90,401",TRUE,TRUE
"246","California","Santa Rosa","Sonoma County",TRUE,"Pacific","167,815","175,038","175,238","176,243","177,093","178,684","180,585","181,485","181,909","181,596","176,750","176,753",TRUE,TRUE
"247","California","Santee","San Diego County",TRUE,"Pacific","53,413","53,420","53,640","54,523","55,381","56,151","56,828","57,471","57,678","57,825","57,944","58,081",TRUE,TRUE
"248","Florida","Sarasota","Sarasota County",TRUE,"Gulf of Mexico","51,917","52,107","52,219","52,527","52,954","53,149","54,015","54,956","56,440","57,185","57,746","58,285",TRUE,TRUE
"249","Georgia","Savannah","Chatham County",TRUE,"Atlantic","136,286","136,918","137,412","140,414","142,327","142,600","143,883","145,160","145,818","145,804","145,817","144,464",TRUE,TRUE
"250","Illinois","Schaumburg","Cook County",TRUE,"Great Lakes","74,227","74,233","74,294","74,551","74,775","74,911","74,903","74,651","74,592","74,039","73,388","72,887",TRUE,TRUE
"251","Washington","Seattle","King County",TRUE,"Pacific","608,660","608,661","610,630","622,694","635,928","653,588","670,109","687,386","709,631","728,661","742,235","753,675",TRUE,TRUE
"252","Washington","Shoreline","King County",TRUE,"Pacific","53,007","53,031","53,180","53,762","54,459","54,802","55,249","55,592","55,687","56,521","56,557","57,027",TRUE,TRUE
"253","California","Simi Valley","Ventura County",TRUE,"Pacific","124,237","124,242","124,463","125,019","125,274","125,868","126,239","126,123","125,958","126,107","125,438","125,613",TRUE,TRUE
"254","Illinois","Skokie","Cook County",TRUE,"Great Lakes","64,784","64,845","64,889","65,087","65,247","65,328","65,223","64,888","64,437","63,847","63,171","62,700",TRUE,TRUE
"255","California","South Gate","Los Angeles County",TRUE,"Pacific","94,396","94,412","94,434","94,591","94,577","94,674","94,741","95,597","95,245","94,848","94,135","93,444",TRUE,TRUE
"256","California","South San Francisco","San Mateo County",TRUE,"Pacific","63,632","63,622","63,701","64,448","65,581","66,237","66,813","67,221","67,220","67,180","67,617","67,789",TRUE,TRUE
"257","Oregon","Springfield","Lane County",TRUE,"Pacific","59,403","59,413","59,445","59,859","59,974","60,019","60,164","60,436","61,531","62,373","62,806","63,230",TRUE,TRUE
"258","Michigan","St. Clair Shores","Macomb County",TRUE,"Great Lakes","59,715","59,765","59,767","59,799","59,986","60,183","60,085","59,912","59,788","59,657","59,282","58,984",TRUE,TRUE
"259","Florida","St. Petersburg","Pinellas County",TRUE,"Gulf of Mexico","244,769","245,177","245,222","245,871","246,656","248,453","252,225","255,041","259,266","262,588","264,466","265,351",TRUE,TRUE
"260","Connecticut","Stamford","Fairfield County",TRUE,"Atlantic","122,643","122,633","122,781","123,988","125,046","126,306","127,951","128,352","128,974","129,880","129,806","129,638",TRUE,TRUE
"261","Michigan","Sterling Heights","Macomb County",TRUE,"Great Lakes","129,699","129,675","129,709","130,042","130,672","131,521","132,136","132,041","132,522","132,681","132,725","132,438",TRUE,TRUE
"262","Virginia","Suffolk","Suffolk city",TRUE,"Atlantic","84,585","84,565","84,813","84,750","85,251","85,751","86,882","88,079","89,194","90,108","90,975","92,108",TRUE,TRUE
"263","South Carolina","Summerville","Dorchester County, Berkeley County, Charleston County",TRUE,"","43,392","42,960","43,175","43,982","44,710","45,952","47,370","49,227","50,216","51,517","51,880","52,549",TRUE,TRUE
"264","California","Sunnyvale","Santa Clara County",TRUE,"Pacific","140,081","140,060","140,462","143,805","146,436","148,055","149,769","151,630","153,544","153,217","152,807","152,703",TRUE,TRUE
"265","Florida","Sunrise","Broward County",TRUE,"Atlantic","84,439","84,306","84,548","86,303","88,582","89,757","90,661","91,928","93,668","94,274","95,219","95,166",TRUE,TRUE
"266","Washington","Tacoma","Pierce County",TRUE,"Pacific","198,397","198,247","198,230","199,519","201,537","202,127","203,740","206,784","210,248","213,417","216,111","217,827",TRUE,TRUE
"267","Florida","Tamarac","Broward County",TRUE,"Atlantic","60,427","60,778","60,921","62,019","62,752","63,262","63,731","64,499","65,517","66,148","66,447","66,721",TRUE,TRUE
"268","Florida","Tampa","Hillsborough County",TRUE,"Gulf of Mexico","335,709","336,150","337,053","342,589","348,090","355,172","362,664","371,464","380,344","391,026","397,232","399,700",TRUE,TRUE
"269","Massachusetts","Taunton","Bristol County",TRUE,"Atlantic","55,874","55,826","55,851","55,876","55,990","56,109","56,659","56,838","56,939","56,982","57,365","57,464",TRUE,TRUE
"270","Michigan","Taylor","Wayne County",TRUE,"Great Lakes","63,131","63,131","62,982","62,631","62,465","61,957","62,068","61,777","61,580","61,404","61,163","60,922",TRUE,TRUE
"271","Texas","Texas City","Galveston County",TRUE,"Gulf of Mexico","45,099","45,084","45,284","45,179","45,577","45,900","46,383","47,299","47,994","48,417","49,078","50,094",TRUE,TRUE
"272","California","Thousand Oaks","Ventura County",TRUE,"Pacific","126,683","126,490","126,732","127,325","127,657","128,224","128,636","128,632","128,480","128,229","127,279","126,813",TRUE,TRUE
"273","Illinois","Tinley Park","Cook County, Will County",TRUE,"Great Lakes","56,703","56,827","56,882","57,086","57,268","57,372","57,364","57,195","56,929","56,553","56,095","55,773",TRUE,TRUE
"274","Ohio","Toledo","Lucas County",TRUE,"Great Lakes","287,208","287,357","287,065","285,425","283,185","282,352","280,712","279,898","278,897","276,688","274,864","272,779",TRUE,TRUE
"275","California","Torrance","Los Angeles County",TRUE,"Pacific","145,438","145,151","145,154","145,769","146,257","146,671","146,845","146,950","146,416","145,781","144,706","143,592",TRUE,TRUE
"276","California","Tustin","Orange County",TRUE,"Pacific","75,540","75,317","75,472","76,227","77,575","78,122","80,138","80,088","80,245","80,121","79,578","79,348",TRUE,TRUE
"277","California","Union City","Alameda County",TRUE,"Pacific","69,516","69,531","69,630","70,597","71,642","72,552","73,481","74,343","75,465","75,227","74,560","74,107",TRUE,TRUE
"278","New Jersey","Union City","Hudson County",TRUE,"Atlantic","66,455","66,467","66,459","67,446","67,844","68,232","68,302","68,119","68,365","68,485","68,124","67,982",TRUE,TRUE
"279","California","Vacaville","Solano County",TRUE,"Pacific","92,428","92,422","92,557","93,225","93,660","94,023","95,394","96,224","97,994","99,604","99,949","100,670",TRUE,TRUE
"280","California","Vallejo","Solano County",TRUE,"Pacific","115,942","115,914","116,137","116,709","117,599","118,550","119,602","120,477","120,949","121,546","121,677","121,692",TRUE,TRUE
"281","Texas","Victoria","Victoria County",TRUE,"Gulf of Mexico","62,592","62,624","62,675","63,113","64,244","64,964","65,904","67,154","67,346","67,019","66,835","66,916",TRUE,TRUE
"282","New Jersey","Vineland","Cumberland County",TRUE,"Atlantic","60,724","60,734","60,820","60,984","60,921","60,874","60,887","60,583","60,312","59,862","59,856","59,439",TRUE,TRUE
"283","Virginia","Virginia Beach","Virginia Beach city",TRUE,"Atlantic","437,994","437,903","438,859","442,583","445,044","447,706","448,864","450,304","450,983","449,896","449,849","449,974",TRUE,TRUE
"284","California","Vista","San Diego County",TRUE,"Pacific","93,834","93,186","93,401","94,355","95,307","96,211","96,999","99,623","100,746","100,740","100,784","101,638",TRUE,TRUE
"285","California","Walnut Creek","Contra Costa County",TRUE,"Pacific","64,173","64,157","64,314","64,827","65,529","66,812","67,500","68,747","69,235","69,645","69,843","70,166",TRUE,TRUE
"286","Michigan","Warren","Macomb County",TRUE,"Great Lakes","134,056","134,070","134,081","134,173","134,590","135,312","135,666","135,386","135,245","135,100","134,376","133,943",TRUE,TRUE
"287","Rhode Island","Warwick","Kent County",TRUE,"Atlantic","82,672","82,689","82,643","82,049","81,700","81,548","81,710","81,142","81,027","80,820","80,966","81,004",TRUE,TRUE
"288","Connecticut","Waterbury","New Haven County",TRUE,"Atlantic","110,366","110,309","110,350","110,074","110,019","109,733","109,524","108,993","108,453","108,277","108,123","107,568",TRUE,TRUE
"289","California","Watsonville","Santa Cruz County",TRUE,"Pacific","51,199","51,214","51,278","51,593","51,887","52,412","52,959","53,528","53,774","53,919","53,875","53,856",TRUE,TRUE
"290","Illinois","Waukegan","Lake County",TRUE,"Great Lakes","89,078","89,115","89,167","88,998","88,799","88,897","88,791","88,369","88,157","87,615","86,680","86,075",TRUE,TRUE
"291","Florida","Wellington","Palm Beach County",TRUE,"Atlantic","56,508","56,697","56,830","57,506","58,593","60,303","61,507","62,605","64,204","64,793","65,058","65,398",TRUE,TRUE
"292","Wisconsin","West Allis","Milwaukee County",TRUE,"Great Lakes","60,411","60,401","60,418","60,492","60,695","60,803","60,765","60,709","60,331","59,845","59,410","59,890",TRUE,TRUE
"293","California","West Covina","Los Angeles County",TRUE,"Pacific","106,098","106,108","106,123","106,721","107,082","107,348","107,447","107,540","107,437","106,942","105,964","105,101",TRUE,TRUE
"294","Connecticut","West Haven","New Haven County",TRUE,"Atlantic","55,564","55,564","55,570","55,510","55,284","55,130","55,289","54,872","54,640","54,841","54,895","54,620",TRUE,TRUE
"295","New Jersey","West New York","Hudson County",TRUE,"Atlantic","49,708","49,710","49,843","50,511","50,853","51,252","51,529","52,540","52,596","52,732","52,668","52,723",TRUE,TRUE
"296","Florida","West Palm Beach","Palm Beach County",TRUE,"Atlantic","99,919","100,665","100,813","101,498","102,526","103,420","104,314","106,850","108,740","110,328","111,058","111,955",TRUE,TRUE
"297","Michigan","Westland","Wayne County",TRUE,"Great Lakes","84,094","84,150","83,959","83,518","83,334","82,659","82,628","82,321","82,115","81,940","81,752","81,511",TRUE,TRUE
"298","California","Westminster","Orange County",TRUE,"Pacific","89,701","89,619","89,772","90,710","91,223","91,624","91,555","91,582","91,510","91,176","90,742","90,643",TRUE,TRUE
"299","Florida","Weston","Broward County",TRUE,"Atlantic","65,333","65,419","65,591","66,840","67,702","68,333","68,926","69,687","70,324","70,901","71,030","71,166",TRUE,TRUE
"300","Massachusetts","Weymouth Town","Norfolk County",TRUE,"Atlantic","53,743","53,762","53,828","54,177","55,058","55,452","55,725","55,798","55,924","56,695","57,511","57,746",TRUE,TRUE
