State,City,County,Coastal,Region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
New Jersey,Newark,Essex County,TRUE,Atlantic,277140,277107,277158,277540,277590,278152,278991,279629,280628,281014,282090
Ohio,Toledo,Lucas County,FALSE,N/A,287208,287319,287030,285347,283129,282303,280672,279816,278780,276618,274975
North Carolina,Durham,Durham County,FALSE,N/A,228330,229878,230710,235308,241107,247002,253316,258581,265355,269578,274291
California,Chula Vista,San Diego County,TRUE,Pacific,243916,243923,244656,248339,252457,256819,260069,264490,266610,269429,271651
Indiana,Fort Wayne,Allen County,FALSE,N/A,253691,253739,254162,256253,257615,259354,260614,262235,263777,265455,267633
New Jersey,Jersey City,Hudson County,TRUE,Atlantic,247597,247639,248363,252910,256148,257243,258794,260332,260626,263401,265549
Florida,St. Petersburg,Pinellas County,TRUE,Gulf of Mexico,244769,245176,245226,245856,246671,248492,252282,255206,259556,262928,265098
Texas,Laredo,Webb County,FALSE,N/A,236091,235809,236859,241266,245877,249822,253017,255538,258102,259634,261639
Wisconsin,Madison,Dane County,FALSE,N/A,233209,233163,233716,236877,239872,243246,245870,248714,252485,255473,258054
Arizona,Chandler,Maricopa County,FALSE,N/A,236123,236187,236479,236854,237677,239900,240893,243679,247845,253600,257165
New York,Buffalo,Erie County,FALSE,N/A,261310,261372,261301,260706,260176,260041,259584,258339,256960,256430,256304
Texas,Lubbock,Lubbock County,FALSE,N/A,229573,229632,230796,233601,236055,239411,244071,247644,251086,253555,255885
Arizona,Scottsdale,Maricopa County,FALSE,N/A,217385,217464,217615,220792,225213,228952,234053,241197,248100,251556,255310
Nevada,Reno,Washoe County,FALSE,N/A,225221,225411,225750,227160,229069,231161,234301,238335,242476,247106,250998
Arizona,Glendale,Maricopa County,FALSE,N/A,226721,226099,226168,229233,233564,236885,240020,243184,246000,247899,250702
Arizona,Gilbert,Maricopa County,FALSE,N/A,208453,208387,209435,211418,215880,221598,227294,232401,237137,242465,248279
North Carolina,Winston-Salem,Forsyth County,FALSE,N/A,229617,229634,230033,231847,233867,235741,238508,239696,241656,244373,246328
Nevada,North Las Vegas,Clark County,FALSE,N/A,216961,216670,216843,218302,221910,225435,228806,232689,236694,240681,245949
Virginia,Norfolk,N/A,TRUE,Atlantic,242803,242827,242998,243632,246141,245449,246587,246534,245843,244922,244076
Virginia,Chesapeake,Norfolk County,FALSE,N/A,222209,222306,223550,225332,228075,230330,233380,235168,237591,240327,242634
Texas,Garland,Dallas County,FALSE,N/A,226876,226910,227355,230078,233775,234783,235761,237331,236500,238560,242507
Texas,Irving,Dallas County,FALSE,N/A,216290,216285,216867,219877,225812,229053,232736,237358,240086,240834,242242
Florida,Hialeah,Miami-Dade County,TRUE,Atlantic,224669,224687,225460,230396,232730,234616,235145,236339,236886,239019,238942
California,Fremont,Alameda County,TRUE,Pacific,214089,214072,214561,217400,221479,224888,228397,231697,233378,234237,237807
Idaho,Boise,Ada County,FALSE,N/A,205671,209389,209578,212620,215681,217436,219471,220938,224728,227621,228790
Virginia,Richmond,Henrico county,FALSE,N/A,204214,204327,204256,206325,210741,213815,217003,220847,225332,226968,228783
Louisiana,Baton Rouge,East Baton Rouge Parish,FALSE,N/A,229493,229422,229369,228595,228834,228280,227774,227044,226397,223948,221599
Washington,Spokane,Spokane County,FALSE,N/A,208916,209455,209523,208949,209294,209745,210612,212179,214990,217028,219190
Iowa,Des Moines,"Polk County, Warren County",FALSE,N/A,203433,204183,205004,207870,210230,212035,214390,215372,216487,217006,216853
Washington,Tacoma,Pierce County,TRUE,Pacific,198397,198243,198227,199493,201531,202130,203762,206801,210268,213430,216279
California,San Bernardino,San Bernardino County,FALSE,N/A,209924,209662,209853,211402,212444,213111,213588,214709,215431,216296,215941
California,Modesto,Stanislaus County,FALSE,N/A,201165,203119,203314,204041,205108,206182,207781,209366,211334,213198,215030
California,Fontana,San Bernardino County,FALSE,N/A,196069,196472,197342,199916,201295,202804,204152,206377,208971,211388,213739
California,Santa Clarita,Los Angeles County,TRUE,Pacific,176320,204142,204213,205317,206285,207123,208180,209247,209668,209895,210089
Alabama,Birmingham,Jefferson County,FALSE,N/A,212237,212003,211743,211566,210749,211230,211109,211703,211436,210966,209880
California,Oxnard,Ventura County,TRUE,Pacific,197899,197964,198465,199904,201084,202858,204626,206408,207754,209173,209877
North Carolina,Fayetteville,Cumberland County,FALSE,N/A,200564,200565,208335,208728,208873,211051,210079,209624,211126,209215,209468
California,Moreno Valley,Riverside County,FALSE,N/A,193365,193305,194241,196577,198218,200224,201874,202958,204742,206713,209050
New York,Rochester,Monroe County,FALSE,N/A,210565,210684,210452,210710,210600,210454,209626,208709,207729,206483,206284
California,Glendale,Los Angeles County,TRUE,Pacific,191719,191687,191726,192681,193941,195450,198420,199452,200444,202146,201361
California,Huntington Beach,Orange County,TRUE,Pacific,189992,191037,191303,193010,194237,197212,199757,200855,200541,201191,200641
Utah,Salt Lake City,Salt Lake County,FALSE,N/A,186440,186443,186571,188181,189715,191661,191398,191737,194182,200570,200591
Michigan,Grand Rapids,Kent County,FALSE,N/A,188040,188031,188003,189087,190817,192991,194352,195073,196546,199082,200217
Texas,Amarillo,Potter County,FALSE,N/A,190695,190666,191255,193747,195389,196243,197188,197889,198867,199919,199924
New York,Yonkers,Westchester County,TRUE,Atlantic,195976,196018,196405,197575,198075,198809,199434,199721,200083,199762,199663
Illinois,Aurora,DuPage County,FALSE,N/A,197899,197914,198157,199100,199641,199826,200245,200416,200945,200579,199602
Alabama,Montgomery,Montgomery County,FALSE,N/A,205764,205501,205593,205180,203937,202426,201435,200993,200360,199892,198218
Ohio,Akron,Summit County,FALSE,N/A,199110,199135,199003,199016,198884,198901,198937,198524,198021,198092,198006
Arkansas,Little Rock,Pulaski County,FALSE,N/A,193524,193490,193928,195210,196504,197084,197533,198135,198673,198418,197881
Alabama,Huntsville,Madison County,FALSE,N/A,180105,180416,180960,182167,183588,185841,187659,190147,192260,195056,197318
Georgia,Augusta,Richmond County,FALSE,N/A,195844,195847,196192,195643,196834,196479,196473,196663,197146,196828,196939
Florida,Port St. Lucie,St. Lucie County,TRUE,Atlantic,164603,164194,164843,166276,167904,169438,172721,177784,183684,189265,195248
Texas,Grand Prairie,"Dallas County, Tarrant County, Ellis County",FALSE,N/A,175396,175468,175979,178921,182089,183994,185970,188577,192300,194214,194614
Georgia,Columbus,Muscogee County,FALSE,N/A,189885,190573,191105,195244,198944,203198,200552,198674,196198,193766,194160
Florida,Tallahassee,Leon County,FALSE,N/A,181376,181211,181596,183140,186464,185783,187286,188894,189221,192048,193551
Kansas,Overland Park,Johnson County,FALSE,N/A,173372,173329,174041,176020,178687,180948,184011,186224,189272,191322,192536
Arizona,Tempe,Maricopa County,FALSE,N/A,161719,161777,162326,164481,168585,170807,175730,179221,185004,185931,192364
Texas,McKinney,Collin County,FALSE,N/A,131117,131160,132943,137921,143506,149207,157139,163458,173336,181757,191645
Alabama,Mobile,Mobile County,TRUE,Gulf of Mexico,195111,194664,194577,193992,193858,193555,192979,192377,191885,190501,189572
Florida,Cape Coral,Lee County,TRUE,Gulf of Mexico,154305,154314,154735,157314,160548,164323,168345,173468,178362,183442,189343
Louisiana,Shreveport,Caddo Parish,FALSE,N/A,199311,200405,200869,201746,201790,199923,197740,196508,194222,191638,188987
Texas,Frisco,"Collin County, Denton County",FALSE,N/A,116989,117170,118192,123483,128403,136733,144878,154157,163841,177286,188170
